Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1992-01-08,0.00,-2.04,-3.79,2.62,6.12,7.29,4.66,0.29,-0.29,1.46
1992-01-29,0.00,-0.85,-1.69,-1.13,-0.56,2.54,2.54,1.98,1.13,2.82
1992-02-12,0.00,-0.55,-2.19,-3.56,-1.37,-0.27,0.27,0.82,1.92,2.74
1992-03-12,0.00,-2.22,0.56,0.00,2.50,5.28,1.94,3.06,3.89,3.89
1992-05-18,0.00,0.00,-0.51,-1.29,-3.34,-4.11,-3.86,-4.37,-5.14,-5.14
1992-06-03,0.00,-2.17,-0.82,-1.09,0.00,-0.54,0.82,1.09,1.09,-0.82
1992-07-20,0.00,-1.60,-2.94,-3.21,-5.88,-1.60,-0.80,-1.07,-1.60,-1.87
1992-09-28,0.00,1.43,1.71,0.00,-1.43,-1.71,-3.14,-3.43,-4.86,-3.71
1992-10-14,0.00,1.73,4.05,4.91,5.20,5.20,5.78,7.51,8.38,8.38
1992-11-02,0.00,-0.80,0.00,1.87,4.27,4.00,5.87,5.07,5.33,4.53
1992-11-25,0.00,-0.25,0.25,0.00,0.00,0.50,0.25,-0.25,-0.50,-0.99
1993-05-19,0.00,-1.07,-0.27,1.33,3.73,2.93,0.53,2.40,2.67,3.20
1993-06-24,0.00,2.83,1.03,2.06,2.83,2.31,1.80,3.08,6.68,5.91
1993-08-26,0.00,-1.22,0.49,-0.24,-1.95,-1.71,-0.49,0.73,2.68,3.41
1993-10-06,0.00,-0.48,-0.96,-1.20,0.00,-0.96,-2.87,-6.46,-7.18,-7.89
1993-10-13,0.00,-1.93,-5.56,-6.28,-7.00,-6.28,-5.56,-5.80,-7.97,-9.18
1993-12-08,0.00,-1.55,-0.26,0.00,-0.52,1.03,2.06,1.80,1.29,0.26
1994-01-07,0.00,-0.25,-0.25,-0.50,0.50,0.25,-0.76,-1.51,-1.26,-0.50
1994-03-11,0.00,0.00,2.93,2.13,2.13,1.06,0.80,1.33,0.53,-3.19
1994-03-23,0.00,-3.70,-1.59,-2.38,-3.17,-3.17,-5.29,-2.12,-2.12,1.06
1994-06-01,0.00,2.01,1.12,0.22,0.00,-0.45,0.67,1.57,-0.22,-0.89
1994-06-10,0.00,-1.76,-2.42,-4.41,-5.73,-7.27,-7.27,-5.51,-6.61,-9.69
1994-07-25,0.00,-1.37,0.46,1.83,2.05,0.68,0.23,0.23,0.68,0.46
1994-07-28,0.00,0.22,-1.12,-1.57,-1.57,-1.12,-1.35,-1.35,-0.67,-0.90
1994-08-05,0.00,0.00,0.68,0.45,1.59,1.14,1.36,0.68,0.45,0.91
1994-08-10,0.00,1.13,0.68,0.90,0.23,0.00,0.45,0.23,-0.45,-0.68
1994-10-07,0.00,1.06,2.64,3.17,6.86,5.54,5.28,6.33,6.07,3.69
1994-11-23,0.00,-1.37,-1.64,-1.91,-2.19,-0.27,-0.55,0.55,0.00,-4.37
1995-01-25,0.00,0.53,-0.27,-1.06,-2.12,-1.33,3.98,6.37,5.04,5.57
1995-02-22,0.00,-0.97,-2.68,-2.92,-3.89,-2.68,-2.43,-3.16,-4.87,-4.62
1995-03-16,0.00,-1.25,-3.01,-2.01,-1.50,-2.01,-0.25,0.75,2.01,2.26
1995-04-24,0.00,0.25,0.25,-1.48,-1.97,-1.48,-0.49,1.48,3.94,5.67
1995-05-02,0.00,1.98,4.46,6.19,7.67,7.67,6.44,6.93,8.66,9.65
1995-09-27,0.00,-1.28,0.00,1.65,2.75,2.20,2.39,2.75,1.47,2.39
1995-10-02,0.00,1.08,0.54,0.72,1.08,-0.18,0.72,4.15,3.43,2.89
1995-11-21,0.00,0.00,1.75,0.88,0.53,0.35,0.70,2.98,2.11,4.56
1996-04-25,0.00,-0.94,0.16,0.31,-2.82,-2.35,-3.76,-3.13,-0.78,-0.94
1996-04-30,0.00,-3.12,-2.66,-4.06,-3.44,-1.09,-1.25,0.47,0.62,1.56
1996-06-27,0.00,1.97,1.66,2.42,-0.76,-2.72,-3.18,-1.51,-2.72,-2.80
1996-07-03,0.00,-1.98,-2.44,-0.76,-1.98,-2.06,-3.35,-3.51,-1.68,-0.15
