Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1985-05-01,0.00,-3.90,-2.60,-3.90,-3.25,-3.90,-5.19,-3.90,-2.60,-3.90
1985-05-31,0.00,-7.81,-5.47,-6.25,-2.34,-0.78,-0.78,1.56,7.03,7.81
1985-06-05,0.00,3.68,5.15,5.15,7.35,12.50,13.24,12.50,10.29,8.09
1985-06-07,0.00,0.00,2.33,7.75,8.53,7.75,5.43,3.10,2.33,0.00
1985-06-28,0.00,4.83,3.45,2.76,2.76,2.76,0.69,0.69,1.38,2.07
1985-07-02,0.00,-0.71,-0.71,-0.71,-2.86,-2.86,-2.14,-1.43,0.00,-0.71
1985-07-08,0.00,-2.13,-2.13,-1.42,-0.71,0.71,0.00,2.13,1.42,4.26
1985-07-09,0.00,0.00,0.69,1.39,2.78,2.08,4.17,3.47,6.25,8.33
1985-07-11,0.00,0.70,2.10,1.40,3.50,2.80,5.59,7.69,9.09,6.99
1985-07-22,0.00,1.52,-0.76,-0.76,3.03,1.52,3.79,3.79,4.55,6.82
1985-07-26,0.00,-1.56,0.78,0.78,1.56,3.91,4.69,7.03,5.47,4.69
1985-07-31,0.00,0.79,3.15,3.94,6.30,4.72,3.94,5.51,3.94,7.87
1985-08-12,0.00,4.10,4.92,4.10,1.64,0.00,0.00,2.46,3.28,0.82
1985-08-21,0.00,0.84,-1.68,-2.52,-2.52,0.00,-0.84,0.84,0.00,0.00
1985-08-22,0.00,-2.54,-3.39,-3.39,-0.85,-1.69,0.00,-0.85,-0.85,-1.69
1985-08-28,0.00,-0.84,0.84,0.00,0.00,-0.84,-2.52,-3.36,-4.20,-8.40
1985-09-03,0.00,0.00,-0.84,-2.52,-3.36,-4.20,-8.40,-5.88,-2.52,-2.52
1985-09-13,0.00,0.00,-6.56,-11.48,-9.84,-10.66,-8.20,-4.10,-4.10,-4.13
1985-09-20,0.00,2.22,5.93,5.93,5.90,6.67,6.67,7.41,8.15,11.11
1985-09-24,0.00,0.00,-0.03,0.79,0.79,1.57,2.36,5.51,5.51,4.72
1985-10-02,0.00,3.23,3.23,2.42,3.23,-2.42,-3.23,-7.26,-9.68,-16.13
1985-10-09,0.00,-0.79,-4.72,-7.09,-13.39,-14.96,-11.81,-8.66,-13.39,-13.39
1985-10-23,0.00,2.04,2.04,2.72,-3.40,-1.36,-1.36,-2.04,-1.36,-4.76
1985-10-31,0.00,-0.67,0.00,-3.36,-5.37,-10.07,-7.38,-6.71,-4.03,-7.38
1985-11-05,0.00,-1.95,-6.49,-3.90,-3.25,-0.65,-3.90,-3.25,-3.25,0.00
1985-11-11,0.00,2.52,-0.63,0.00,0.00,3.14,4.40,4.40,4.40,3.77
1985-11-15,0.00,3.14,4.40,4.40,4.40,3.77,2.52,-0.63,-1.26,-1.89
1985-11-19,0.00,0.00,0.00,-0.66,-1.97,-5.26,-5.92,-6.58,-5.92,-7.89
1985-11-22,0.00,-1.31,-4.58,-5.23,-5.88,-5.23,-7.19,-5.23,-3.27,-1.31
1985-12-03,0.00,1.83,3.66,5.49,4.88,3.66,2.44,2.44,-1.83,-0.61
1985-12-05,0.00,1.90,1.27,0.00,-1.27,-1.27,-5.70,-4.43,-12.66,-13.92
1986-01-06,0.00,0.54,1.63,1.09,0.00,-1.09,-3.80,-6.52,-4.35,-3.80
1986-01-22,0.00,1.63,3.80,3.26,-2.72,0.00,-0.54,-3.80,-3.26,-3.26
1986-02-13,0.00,-0.53,-5.26,-5.79,-6.32,-8.42,-11.05,-9.47,-7.89,-5.26
1986-04-09,0.00,0.92,1.38,-0.46,-3.67,-6.42,-9.17,-11.47,-9.63,-8.72
1986-04-22,0.00,-5.91,-8.86,-8.02,-5.49,-2.11,-2.11,-2.95,-8.44,-10.13
1986-06-23,0.00,-2.87,-3.94,-2.87,-2.87,-1.43,-3.58,-7.89,-2.15,1.79
1986-06-27,0.00,1.39,-0.70,-4.88,0.70,4.53,3.48,1.39,-3.48,-1.05
1986-07-07,0.00,-1.09,-3.28,-8.39,-5.84,-1.82,2.19,5.84,7.30,2.19
1986-09-24,0.00,0.72,5.80,2.90,1.09,1.09,2.17,1.09,4.35,5.07
1986-10-03,0.00,3.30,4.03,3.30,2.56,-1.47,0.37,2.20,1.47,1.47
1986-10-28,0.00,-2.62,-3.75,-4.87,-7.12,-10.86,-8.24,-7.12,-5.99,-6.37
1987-05-08,0.00,1.95,-1.95,-2.92,-1.62,1.62,4.87,3.25,3.25,3.73
1987-07-17,0.00,0.90,-1.80,0.00,-1.80,-1.20,-0.30,1.80,0.60,1.20
1987-09-28,0.00,-3.67,-6.88,-7.34,-8.72,-2.29,-1.83,0.46,0.69,2.29
1987-10-08,0.00,1.62,-0.69,1.62,3.93,10.85,32.56,36.26,25.17,32.10
1987-11-19,0.00,-2.11,-4.23,-2.82,1.41,7.04,6.34,8.45,14.08,13.38
1988-01-08,0.00,1.18,0.59,0.59,-0.88,-0.59,-0.59,6.47,5.59,7.65
1988-02-05,0.00,-2.58,-5.81,-4.84,-5.81,-6.45,-8.06,-7.74,-7.74,-11.61
1988-03-10,0.00,-1.09,1.64,-0.82,1.64,2.19,4.10,3.83,7.10,10.66
1988-04-28,0.00,0.00,-1.83,-2.44,-1.83,-0.61,0.61,0.30,3.66,3.05
1988-07-26,0.00,0.29,-3.80,-5.26,-4.39,-4.68,-4.39,-3.51,-2.92,-1.75
1988-08-31,0.00,-2.25,0.00,1.61,0.32,-4.18,-5.47,-5.47,-8.04,-7.07
1988-09-06,0.00,-1.31,-5.88,-7.19,-7.19,-9.80,-8.82,-10.46,-9.15,-8.50
1988-09-15,0.00,1.18,1.78,-1.18,-4.14,-3.55,-1.18,-2.66,-2.96,-4.14
1988-11-16,0.00,0.65,4.25,5.56,3.59,4.58,4.58,3.92,1.63,-1.31
1988-11-18,0.00,1.37,-0.68,0.34,0.34,-0.34,-2.73,-5.80,-7.17,-7.85
1988-12-22,0.00,1.52,2.13,1.52,2.13,1.82,-2.13,-2.74,-3.65,-4.56
1988-12-30,0.00,-4.02,-4.64,-5.57,-6.50,-5.57,-4.33,-5.88,-7.12,-8.36
1989-02-03,0.00,-1.30,0.65,0.65,3.25,3.90,7.14,5.84,5.52,4.55
1989-02-08,0.00,2.61,3.27,6.54,5.23,4.90,3.92,1.96,3.92,3.92
1989-02-24,0.00,0.68,1.37,4.11,4.79,2.74,2.05,3.42,5.48,4.11
1989-03-15,0.00,1.06,1.06,1.06,3.90,2.48,4.26,3.55,2.84,1.42
1989-05-18,0.00,-0.55,0.55,-4.37,-5.46,-6.01,-3.83,-4.37,-6.56,-7.10
1989-07-17,0.00,-3.18,-1.91,-1.91,0.00,1.27,2.55,0.00,-0.32,-1.27
1989-08-16,0.00,-3.05,-3.05,-4.57,-6.71,-7.62,-9.15,-9.15,-7.62,-8.54
1989-08-29,0.00,0.00,-0.28,-0.56,-0.56,-0.56,-1.12,-2.81,-3.37,-1.12
1989-11-27,0.00,0.28,-0.28,0.28,-2.55,-1.98,3.12,3.12,5.38,11.05
1990-03-12,0.00,-0.34,0.34,-9.15,-14.92,-12.20,-12.88,-10.51,-14.58,-14.58
1990-03-22,0.00,0.00,0.59,2.37,2.66,4.73,4.73,1.18,2.37,4.73
1990-04-18,0.00,0.00,1.24,3.73,3.73,3.42,2.80,2.17,1.55,1.24
1990-06-05,0.00,1.27,3.16,1.27,-2.53,-0.63,-0.63,0.00,0.63,-0.32
1990-06-07,0.00,-1.96,-5.88,-3.92,-3.92,-3.27,-2.61,-3.59,-4.58,-9.48
1990-08-03,0.00,0.00,-1.58,0.00,1.90,-0.95,-0.63,0.63,2.53,7.59
1990-08-22,0.00,-2.90,-9.42,-10.51,-7.97,-5.07,-7.25,-7.25,-4.35,-3.62
1990-10-15,0.00,-6.00,-14.00,-25.50,-24.50,-24.00,-22.00,-20.00,-20.00,-19.50
1990-11-20,0.00,-0.69,-1.73,-3.81,-1.73,-1.73,-1.73,-5.54,-6.57,-11.07
1990-11-28,0.00,0.00,-3.74,-4.76,-9.18,-12.24,-15.65,-13.61,-8.84,-7.82
1991-02-21,0.00,2.93,2.51,2.51,4.18,3.35,2.30,-5.65,-5.44,-12.55
1991-02-28,0.00,-1.08,-9.31,-9.09,-16.45,-12.55,-9.96,-8.87,-14.72,-12.99
1991-04-17,0.00,2.25,-0.82,-0.82,0.41,4.10,3.89,4.51,9.84,22.54
1991-05-23,0.00,-0.27,-2.45,-3.81,-2.45,-7.36,-7.08,-4.63,-1.63,-0.54
1991-07-23,0.00,-0.56,0.28,-1.11,-3.33,-2.78,-9.17,-11.11,-7.78,-10.00
1991-07-26,0.00,-2.20,-1.65,-7.97,-9.89,-6.59,-8.79,-10.71,-10.99,-11.54
1991-08-15,0.00,5.16,4.23,-0.94,-1.88,0.47,0.47,-1.41,0.00,0.47
1991-10-30,0.00,0.97,3.40,5.34,6.80,3.40,-3.40,-4.37,-5.83,-5.10
1991-12-11,0.00,-2.03,-2.28,-2.28,-4.81,-2.78,-1.77,-4.30,-5.82,-11.14
1992-02-18,0.00,-4.23,-4.84,-6.65,-10.48,-12.70,-10.48,-8.87,-8.47,-7.06
1992-04-07,0.00,-2.46,0.67,-1.12,-5.15,-8.28,-5.59,-1.57,-0.67,-3.13
1992-05-21,0.00,0.42,-1.26,0.00,-0.42,3.36,5.04,9.03,8.40,7.77
1992-07-31,0.00,0.55,2.19,3.83,5.19,3.55,4.92,3.55,2.19,2.19
1992-08-21,0.00,-2.60,-2.31,-2.89,-4.05,-6.36,-7.51,-12.14,-10.40,-9.25
1993-03-26,0.00,-2.45,-0.98,-1.47,1.72,1.96,4.41,0.98,2.45,1.96
1993-04-13,0.00,3.08,1.28,0.51,-2.56,-1.79,-2.56,-1.03,-0.51,-3.08
