Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1986-06-13,0.00,-4.53,-4.53,-2.44,0.35,-3.14,-2.79,0.00,1.05,0.00
1986-08-26,0.00,2.03,0.00,-6.08,-6.08,-4.05,-5.07,-6.08,-3.38,-5.41
1987-01-09,0.00,-1.92,5.77,9.62,7.14,16.76,13.46,7.69,15.38,10.44
1987-01-14,0.00,-2.26,6.52,3.51,-1.75,5.26,0.75,-0.25,5.76,11.03
1987-01-22,0.00,-1.00,4.98,10.20,7.71,10.45,11.19,10.45,9.45,7.21
1987-02-23,0.00,5.53,5.53,6.87,3.05,-0.76,3.24,4.58,2.67,-1.34
1987-03-10,0.00,-1.51,-4.15,-1.51,1.13,-0.38,3.21,3.02,1.89,0.00
1987-03-31,0.00,7.49,7.49,4.87,1.50,3.37,6.37,5.24,1.12,1.87
1987-04-21,0.00,2.36,0.67,1.01,3.70,4.71,6.73,7.74,7.41,8.08
1987-09-30,0.00,0.43,1.72,-4.29,-4.72,-6.87,-7.08,-8.58,-6.44,-8.58
1988-02-22,0.00,-1.17,-2.34,-2.34,0.58,1.17,4.68,8.77,9.65,9.65
1988-03-16,0.00,-0.56,-2.50,-2.22,-5.56,-9.17,-10.83,-7.78,-8.89,-12.22
1988-03-28,0.00,-3.66,-2.44,-5.49,-4.27,1.83,-0.61,0.00,1.22,1.83
1988-06-21,0.00,-1.37,-1.37,-2.47,1.37,1.64,1.37,1.92,3.56,1.92
1988-07-05,0.00,-1.34,-2.69,-2.96,-3.76,-3.76,-3.23,-3.23,-2.15,-3.76
1988-07-26,0.00,-0.29,3.80,5.26,4.39,4.68,4.39,3.51,2.92,1.75
1988-08-18,0.00,-2.45,-3.07,0.00,-1.53,-1.23,0.31,0.31,-2.15,-4.60
1988-09-16,0.00,-0.60,2.40,5.39,4.79,2.40,3.89,4.19,5.39,3.59
1988-11-04,0.00,2.67,4.67,5.33,2.67,3.67,4.00,1.33,2.00,1.33
